Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Rostership %,Probable Pitcher,lineup_id,strategy
119460-119340,P,Tarik,Tarik Skubal,Skubal,43.69565217,23,11000,DET@MIN,DET,MIN,,,,,Yes,1,balanced
119460-165527,OF/C/1B,Hunter,Hunter Goodman,Goodman,10.7584908,106,3500,ARI@COL,COL,ARI,,,,,,1,balanced
119460-82614,1B,Pete,Pete Alonso,Alonso,12.11333313,120,3600,ATL@NYM,NYM,ATL,,,,,,1,balanced
119460-222785,2B,Luke,Luke Keaschall,Keaschall,13.92666626,15,3300,DET@MIN,MIN,DET,,,,,,1,balanced
119460-38976,3B,Jose,Jose Ramirez,Ramirez,13.07499958,116,4100,MIA@CLE,CLE,MIA,,,,,,1,balanced
119460-119410,SS,CJ,CJ Abrams,Abrams,11.9915092,106,3300,PHI@WSH,WSH,PHI,,,,,,1,balanced
119460-102588,OF,Brewer,Brewer Hicklen,Hicklen,21.39999962,1,2000,PHI@WSH,PHI,WSH,,,,,,1,balanced
119460-60631,OF,Kyle,Kyle Schwarber,Schwarber,14.08916626,120,4300,PHI@WSH,PHI,WSH,,,,,,1,balanced
119460-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@NYM,ATL,NYM,IL,Calf,,,,1,balanced
119460-79280,P,Jesus,Jesus Luzardo,Luzardo,32.66666667,24,10100,PHI@WSH,PHI,WSH,,,,,Yes,2,balanced
119460-165527,OF/C/1B,Hunter,Hunter Goodman,Goodman,10.7584908,106,3500,ARI@COL,COL,ARI,,,,,,2,balanced
119460-82614,1B,Pete,Pete Alonso,Alonso,12.11333313,120,3600,ATL@NYM,NYM,ATL,,,,,,2,balanced
119460-222785,2B,Luke,Luke Keaschall,Keaschall,13.92666626,15,3300,DET@MIN,MIN,DET,,,,,,2,balanced
119460-38976,3B,Jose,Jose Ramirez,Ramirez,13.07499958,116,4100,MIA@CLE,CLE,MIA,,,,,,2,balanced
119460-119410,SS,CJ,CJ Abrams,Abrams,11.9915092,106,3300,PHI@WSH,WSH,PHI,,,,,,2,balanced
119460-102588,OF,Brewer,Brewer Hicklen,Hicklen,21.39999962,1,2000,PHI@WSH,PHI,WSH,,,,,,2,balanced
119460-60631,OF,Kyle,Kyle Schwarber,Schwarber,14.08916626,120,4300,PHI@WSH,PHI,WSH,,,,,,2,balanced
119460-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@NYM,ATL,NYM,IL,Calf,,,,2,balanced
119460-82599,P,Edward,Edward Cabrera,Cabrera,30.75,20,8900,MIA@CLE,MIA,CLE,,,,,Yes,3,balanced
119460-165527,OF/C/1B,Hunter,Hunter Goodman,Goodman,10.7584908,106,3500,ARI@COL,COL,ARI,,,,,,3,balanced
119460-82614,1B,Pete,Pete Alonso,Alonso,12.11333313,120,3600,ATL@NYM,NYM,ATL,,,,,,3,balanced
119460-222785,2B,Luke,Luke Keaschall,Keaschall,13.92666626,15,3300,DET@MIN,MIN,DET,,,,,,3,balanced
119460-38976,3B,Jose,Jose Ramirez,Ramirez,13.07499958,116,4100,MIA@CLE,CLE,MIA,,,,,,3,balanced
119460-119410,SS,CJ,CJ Abrams,Abrams,11.9915092,106,3300,PHI@WSH,WSH,PHI,,,,,,3,balanced
119460-102588,OF,Brewer,Brewer Hicklen,Hicklen,21.39999962,1,2000,PHI@WSH,PHI,WSH,,,,,,3,balanced
119460-60631,OF,Kyle,Kyle Schwarber,Schwarber,14.08916626,120,4300,PHI@WSH,PHI,WSH,,,,,,3,balanced
119460-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@NYM,ATL,NYM,IL,Calf,,,,3,balanced
119460-119340,P,Tarik,Tarik Skubal,Skubal,43.69565217,23,11000,DET@MIN,DET,MIN,,,,,Yes,4,ceiling
119460-165527,OF/C/1B,Hunter,Hunter Goodman,Goodman,10.7584908,106,3500,ARI@COL,COL,ARI,,,,,,4,ceiling
119460-82614,1B,Pete,Pete Alonso,Alonso,12.11333313,120,3600,ATL@NYM,NYM,ATL,,,,,,4,ceiling
119460-222785,2B,Luke,Luke Keaschall,Keaschall,13.92666626,15,3300,DET@MIN,MIN,DET,,,,,,4,ceiling
119460-38976,3B,Jose,Jose Ramirez,Ramirez,13.07499958,116,4100,MIA@CLE,CLE,MIA,,,,,,4,ceiling
119460-119410,SS,CJ,CJ Abrams,Abrams,11.9915092,106,3300,PHI@WSH,WSH,PHI,,,,,,4,ceiling
119460-102588,OF,Brewer,Brewer Hicklen,Hicklen,21.39999962,1,2000,PHI@WSH,PHI,WSH,,,,,,4,ceiling
119460-60631,OF,Kyle,Kyle Schwarber,Schwarber,14.08916626,120,4300,PHI@WSH,PHI,WSH,,,,,,4,ceiling
119460-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@NYM,ATL,NYM,IL,Calf,,,,4,ceiling
119460-79280,P,Jesus,Jesus Luzardo,Luzardo,32.66666667,24,10100,PHI@WSH,PHI,WSH,,,,,Yes,5,ceiling
119460-165527,OF/C/1B,Hunter,Hunter Goodman,Goodman,10.7584908,106,3500,ARI@COL,COL,ARI,,,,,,5,ceiling
119460-82614,1B,Pete,Pete Alonso,Alonso,12.11333313,120,3600,ATL@NYM,NYM,ATL,,,,,,5,ceiling
119460-222785,2B,Luke,Luke Keaschall,Keaschall,13.92666626,15,3300,DET@MIN,MIN,DET,,,,,,5,ceiling
119460-38976,3B,Jose,Jose Ramirez,Ramirez,13.07499958,116,4100,MIA@CLE,CLE,MIA,,,,,,5,ceiling
119460-119410,SS,CJ,CJ Abrams,Abrams,11.9915092,106,3300,PHI@WSH,WSH,PHI,,,,,,5,ceiling
119460-102588,OF,Brewer,Brewer Hicklen,Hicklen,21.39999962,1,2000,PHI@WSH,PHI,WSH,,,,,,5,ceiling
119460-60631,OF,Kyle,Kyle Schwarber,Schwarber,14.08916626,120,4300,PHI@WSH,PHI,WSH,,,,,,5,ceiling
119460-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@NYM,ATL,NYM,IL,Calf,,,,5,ceiling
119460-82599,P,Edward,Edward Cabrera,Cabrera,30.75,20,8900,MIA@CLE,MIA,CLE,,,,,Yes,6,ceiling
119460-165527,OF/C/1B,Hunter,Hunter Goodman,Goodman,10.7584908,106,3500,ARI@COL,COL,ARI,,,,,,6,ceiling
119460-82614,1B,Pete,Pete Alonso,Alonso,12.11333313,120,3600,ATL@NYM,NYM,ATL,,,,,,6,ceiling
119460-222785,2B,Luke,Luke Keaschall,Keaschall,13.92666626,15,3300,DET@MIN,MIN,DET,,,,,,6,ceiling
119460-38976,3B,Jose,Jose Ramirez,Ramirez,13.07499958,116,4100,MIA@CLE,CLE,MIA,,,,,,6,ceiling
119460-119410,SS,CJ,CJ Abrams,Abrams,11.9915092,106,3300,PHI@WSH,WSH,PHI,,,,,,6,ceiling
119460-102588,OF,Brewer,Brewer Hicklen,Hicklen,21.39999962,1,2000,PHI@WSH,PHI,WSH,,,,,,6,ceiling
119460-60631,OF,Kyle,Kyle Schwarber,Schwarber,14.08916626,120,4300,PHI@WSH,PHI,WSH,,,,,,6,ceiling
119460-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@NYM,ATL,NYM,IL,Calf,,,,6,ceiling
119460-119340,P,Tarik,Tarik Skubal,Skubal,43.69565217,23,11000,DET@MIN,DET,MIN,,,,,Yes,7,value
119460-165730,C,Drew,Drew Millas,Millas,8.014285496,14,2200,PHI@WSH,WSH,PHI,,,,,,7,value
119460-162509,1B/OF,Juan,Juan Yepez,Yepez,8.784127372,63,2000,PHI@WSH,WSH,PHI,,,,,,7,value
119460-222785,2B,Luke,Luke Keaschall,Keaschall,13.92666626,15,3300,DET@MIN,MIN,DET,,,,,,7,value
119460-232219,3B,Kyle,Kyle Karros,Karros,10.91666667,6,3200,ARI@COL,COL,ARI,,,,,,7,value
119460-174963,SS,Charles,Charles Leblanc,Leblanc,8.290908813,11,2000,ATL@NYM,ATL,NYM,,,,,,7,value
119460-102588,OF,Brewer,Brewer Hicklen,Hicklen,21.39999962,1,2000,PHI@WSH,PHI,WSH,,,,,,7,value
119460-102578,OF,Griffin,Griffin Conine,Conine,8.075,20,2000,MIA@CLE,MIA,CLE,IL,Shoulder,,,,7,value
119460-13262,OF,Jurickson,Jurickson Profar,Profar,11.70749969,40,3100,ATL@NYM,ATL,NYM,,,,,,7,value
119460-79280,P,Jesus,Jesus Luzardo,Luzardo,32.66666667,24,10100,PHI@WSH,PHI,WSH,,,,,Yes,8,value
119460-165730,C,Drew,Drew Millas,Millas,8.014285496,14,2200,PHI@WSH,WSH,PHI,,,,,,8,value
119460-162509,1B/OF,Juan,Juan Yepez,Yepez,8.784127372,63,2000,PHI@WSH,WSH,PHI,,,,,,8,value
119460-222785,2B,Luke,Luke Keaschall,Keaschall,13.92666626,15,3300,DET@MIN,MIN,DET,,,,,,8,value
119460-232219,3B,Kyle,Kyle Karros,Karros,10.91666667,6,3200,ARI@COL,COL,ARI,,,,,,8,value
