Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Rostership %,Probable Pitcher,lineup_id,strategy
119424-146687,P,Hunter,Hunter Brown,Brown,38.47826087,23,10300,BOS@HOU,HOU,BOS,,,,,Yes,1,balanced
119424-102554,C,Cal,Cal Raleigh,Raleigh,14.21452971,117,4500,SEA@BAL,SEA,BAL,,,,,,1,balanced
119424-222794,1B,Nick,Nick Kurtz,Kurtz,13.22469076,81,4100,TB@ATH,ATH,TB,,,,,,1,balanced
119424-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,1,balanced
119424-38976,3B,Jose,Jose Ramirez,Ramirez,13.16260827,115,4000,MIA@CLE,CLE,MIA,,,,,,1,balanced
119424-185300,SS,Zach,Zach Neto,Neto,11.93465371,101,3400,LAD@LAA,LAA,LAD,,,,,,1,balanced
119424-60643,OF,Aaron,Aaron Judge,Judge,15.7345459,110,4700,MIN@NYY,NYY,MIN,,,,,,1,balanced
119424-231559,OF,Jakob,Jakob Marsee,Marsee,13.84999975,12,3100,MIA@CLE,MIA,CLE,,,,,,1,balanced
119424-82533,OF,Daulton,Daulton Varsho,Varsho,13.25937462,32,3200,CHC@TOR,TOR,CHC,,,,,,1,balanced
119424-82607,P,Trevor,Trevor Rogers,Rogers,38.1,10,10600,SEA@BAL,BAL,SEA,,,,,Yes,2,balanced
119424-102554,C,Cal,Cal Raleigh,Raleigh,14.21452971,117,4500,SEA@BAL,SEA,BAL,,,,,,2,balanced
119424-222794,1B,Nick,Nick Kurtz,Kurtz,13.22469076,81,4100,TB@ATH,ATH,TB,,,,,,2,balanced
119424-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,2,balanced
119424-38976,3B,Jose,Jose Ramirez,Ramirez,13.16260827,115,4000,MIA@CLE,CLE,MIA,,,,,,2,balanced
119424-185300,SS,Zach,Zach Neto,Neto,11.93465371,101,3400,LAD@LAA,LAA,LAD,,,,,,2,balanced
119424-60643,OF,Aaron,Aaron Judge,Judge,15.7345459,110,4700,MIN@NYY,NYY,MIN,,,,,,2,balanced
119424-231559,OF,Jakob,Jakob Marsee,Marsee,13.84999975,12,3100,MIA@CLE,MIA,CLE,,,,,,2,balanced
119424-82533,OF,Daulton,Daulton Varsho,Varsho,13.25937462,32,3200,CHC@TOR,TOR,CHC,,,,,,2,balanced
119424-119430,P,Joe,Joe Ryan,Ryan,35.91304348,23,10000,MIN@NYY,MIN,NYY,,,,,Yes,3,balanced
119424-102554,C,Cal,Cal Raleigh,Raleigh,14.21452971,117,4500,SEA@BAL,SEA,BAL,,,,,,3,balanced
119424-222794,1B,Nick,Nick Kurtz,Kurtz,13.22469076,81,4100,TB@ATH,ATH,TB,,,,,,3,balanced
119424-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,3,balanced
119424-38976,3B,Jose,Jose Ramirez,Ramirez,13.16260827,115,4000,MIA@CLE,CLE,MIA,,,,,,3,balanced
119424-185300,SS,Zach,Zach Neto,Neto,11.93465371,101,3400,LAD@LAA,LAA,LAD,,,,,,3,balanced
119424-60643,OF,Aaron,Aaron Judge,Judge,15.7345459,110,4700,MIN@NYY,NYY,MIN,,,,,,3,balanced
119424-231559,OF,Jakob,Jakob Marsee,Marsee,13.84999975,12,3100,MIA@CLE,MIA,CLE,,,,,,3,balanced
119424-82533,OF,Daulton,Daulton Varsho,Varsho,13.25937462,32,3200,CHC@TOR,TOR,CHC,,,,,,3,balanced
119424-146687,P,Hunter,Hunter Brown,Brown,38.47826087,23,10300,BOS@HOU,HOU,BOS,,,,,Yes,4,ceiling
119424-102554,C,Cal,Cal Raleigh,Raleigh,14.21452971,117,4500,SEA@BAL,SEA,BAL,,,,,,4,ceiling
119424-222794,1B,Nick,Nick Kurtz,Kurtz,13.22469076,81,4100,TB@ATH,ATH,TB,,,,,,4,ceiling
119424-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,4,ceiling
119424-38976,3B,Jose,Jose Ramirez,Ramirez,13.16260827,115,4000,MIA@CLE,CLE,MIA,,,,,,4,ceiling
119424-185300,SS,Zach,Zach Neto,Neto,11.93465371,101,3400,LAD@LAA,LAA,LAD,,,,,,4,ceiling
119424-82440,OF,Shohei,Shohei Ohtani,Ohtani,15.75678007,118,4900,LAD@LAA,LAD,LAA,,,,,Yes,4,ceiling
119424-231559,OF,Jakob,Jakob Marsee,Marsee,13.84999975,12,3100,MIA@CLE,MIA,CLE,,,,,,4,ceiling
119424-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@NYM,ATL,NYM,IL,Calf,,,,4,ceiling
119424-82607,P,Trevor,Trevor Rogers,Rogers,38.1,10,10600,SEA@BAL,BAL,SEA,,,,,Yes,5,ceiling
119424-102554,C,Cal,Cal Raleigh,Raleigh,14.21452971,117,4500,SEA@BAL,SEA,BAL,,,,,,5,ceiling
119424-222794,1B,Nick,Nick Kurtz,Kurtz,13.22469076,81,4100,TB@ATH,ATH,TB,,,,,,5,ceiling
119424-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,5,ceiling
119424-38976,3B,Jose,Jose Ramirez,Ramirez,13.16260827,115,4000,MIA@CLE,CLE,MIA,,,,,,5,ceiling
119424-185300,SS,Zach,Zach Neto,Neto,11.93465371,101,3400,LAD@LAA,LAA,LAD,,,,,,5,ceiling
119424-82440,OF,Shohei,Shohei Ohtani,Ohtani,15.75678007,118,4900,LAD@LAA,LAD,LAA,,,,,Yes,5,ceiling
119424-231559,OF,Jakob,Jakob Marsee,Marsee,13.84999975,12,3100,MIA@CLE,MIA,CLE,,,,,,5,ceiling
119424-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@NYM,ATL,NYM,IL,Calf,,,,5,ceiling
119424-119430,P,Joe,Joe Ryan,Ryan,35.91304348,23,10000,MIN@NYY,MIN,NYY,,,,,Yes,6,ceiling
119424-102554,C,Cal,Cal Raleigh,Raleigh,14.21452971,117,4500,SEA@BAL,SEA,BAL,,,,,,6,ceiling
119424-222794,1B,Nick,Nick Kurtz,Kurtz,13.22469076,81,4100,TB@ATH,ATH,TB,,,,,,6,ceiling
119424-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,6,ceiling
119424-38976,3B,Jose,Jose Ramirez,Ramirez,13.16260827,115,4000,MIA@CLE,CLE,MIA,,,,,,6,ceiling
