Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Rostership %,Probable Pitcher
119019-52185,P,Max,Max Fried,Fried,35.0952381,21,9400,TB@NYY,NYY,TB,,,,,Yes
119019-102554,C,Cal,Cal Raleigh,Raleigh,14.65576876,104,4300,SEA@ATH,SEA,ATH,,,,,
119019-222794,1B,Nick,Nick Kurtz,Kurtz,14.02500018,68,4200,SEA@ATH,ATH,SEA,,,,,
119019-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2200,TB@NYY,TB,NYY,IL,Knee,,,
119019-68522,3B,Alex,Alex Bregman,Bregman,12.13333372,63,3400,BOS@MIN,BOS,MIN,,,,,
119019-165513,SS,Elly,Elly De La Cruz,De La Cruz,13.13177547,107,4000,LAD@CIN,CIN,LAD,,,,,
119019-102588,OF,Brewer,Brewer Hicklen,Hicklen,21.39999962,1,2000,PHI@CWS,PHI,CWS,,,,,
119019-82440,OF,Shohei,Shohei Ohtani,Ohtani,15.50952381,105,4700,LAD@CIN,LAD,CIN,,,,,
119019-39086,OF,Byron,Byron Buxton,Buxton,13.81294089,85,3600,BOS@MIN,MIN,BOS,IL,Ribs,,,
