Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Rostership %,Probable Pitcher
119424-119430,P,Joe,Joe Ryan,Ryan,35.91304348,23,10000,MIN@NYY,MIN,NYY,,,,,Yes
119424-85279,C,Miguel,Miguel Amaya,Amaya,10.67777733,27,2600,CHC@TOR,CHC,TOR,,,,,
119424-222798,OF/1B,C.J.,C.J. Kayfus,Kayfus,8.722222222,9,2300,MIA@CLE,CLE,MIA,,,,,
119424-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,
119424-82574,3B,Isaac,Isaac Paredes,Paredes,10.65106396,94,3000,BOS@HOU,HOU,BOS,IL,Hamstring,,,
119424-174963,SS,Charles,Charles Leblanc,Leblanc,8.290908813,11,2000,ATL@NYM,ATL,NYM,,,,,
119424-231559,OF,Jakob,Jakob Marsee,Marsee,13.84999975,12,3100,MIA@CLE,MIA,CLE,,,,,
119424-102578,OF,Griffin,Griffin Conine,Conine,8.075,20,2000,MIA@CLE,MIA,CLE,IL,Shoulder,,,
119424-12302,OF,Giancarlo,Giancarlo Stanton,Stanton,11.42857143,42,3100,MIN@NYY,NYY,MIN,,,,,
