Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Rostership %,Probable Pitcher
119460-119340,P,Tarik,Tarik Skubal,Skubal,43.69565217,23,11000,DET@MIN,DET,MIN,,,,,Yes
119460-165602,C,Joe,Joe Mack,Mack,,0,2000,MIA@CLE,MIA,CLE,,,,,
119460-222800,1B,Ralphy,Ralphy Velazquez,Velazquez,,0,2000,MIA@CLE,CLE,MIA,,,,,
119460-222797,2B,Travis,Travis Bazzana,Bazzana,,0,2000,MIA@CLE,CLE,MIA,,,,,
119460-172216,3B/1B,David,David Villar,Villar,5.14444436,9,2000,ATL@NYM,NYM,ATL,,,,,
119460-222811,SS,Bryce,Bryce Rainer,Rainer,,0,2000,DET@MIN,DET,MIN,IL,Shoulder,,,
119460-102409,OF,Nick,Nick Schnell,Schnell,,0,2000,PHI@WSH,WSH,PHI,,,,,
119460-102578,OF,Griffin,Griffin Conine,Conine,8.075,20,2000,MIA@CLE,MIA,CLE,IL,Shoulder,,,
119460-198884,OF,Max,Max Clark,Clark,,0,2000,DET@MIN,DET,MIN,,,,,
