Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Rostership %,Probable Pitcher
119486-85599,P,Framber,Framber Valdez,Valdez,37.30434783,23,9900,BAL@HOU,HOU,BAL,,,,,Yes
119486-197886,C,Agustin,Agustin Ramirez,Ramirez,10.29895846,96,2900,MIA@BOS,MIA,BOS,,,,,
119486-222798,OF/1B,C.J.,C.J. Kayfus,Kayfus,8.836363359,11,2300,ATL@CLE,CLE,ATL,,,,,
119486-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@SF,TB,SF,IL,Knee,,,
119486-82574,3B,Isaac,Isaac Paredes,Paredes,10.65106396,94,3000,BAL@HOU,HOU,BAL,IL,Hamstring,,,
119486-174963,SS,Charles,Charles Leblanc,Leblanc,8.290908813,11,2000,ATL@CLE,ATL,CLE,,,,,
119486-231559,OF,Jakob,Jakob Marsee,Marsee,16.86428615,14,3500,MIA@BOS,MIA,BOS,,,,,
119486-82533,OF,Daulton,Daulton Varsho,Varsho,12.47941141,34,3100,TEX@TOR,TOR,TEX,,,,,
119486-226686,OF,Rhylan,Rhylan Thomas,Thomas,7.46666654,3,2000,SEA@NYM,SEA,NYM,,,,,
