Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Rostership %,Probable Pitcher
119486-85599,P,Framber,Framber Valdez,Valdez,37.30434783,23,9900,BAL@HOU,HOU,BAL,,,,,Yes
119486-102554,C,Cal,Cal Raleigh,Raleigh,14.00084013,119,4400,SEA@NYM,SEA,NYM,,,,,
119486-222794,1B,Nick,Nick Kurtz,Kurtz,13.22469076,81,4000,LAA@ATH,ATH,LAA,,,,,
119486-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@SF,TB,SF,IL,Knee,,,
119486-38976,3B,Jose,Jose Ramirez,Ramirez,13.25470127,117,4100,ATL@CLE,CLE,ATL,,,,,
119486-119349,SS,Bobby,Bobby Witt Jr.,Witt Jr.,12.35416667,120,4000,CWS@KC,KC,CWS,,,,,
119486-231559,OF,Jakob,Jakob Marsee,Marsee,16.86428615,14,3500,MIA@BOS,MIA,BOS,,,,,
119486-60643,OF,Aaron,Aaron Judge,Judge,15.59279323,111,4700,NYY@STL,NYY,STL,,,,,
119486-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,13.33818137,55,4000,ATL@CLE,ATL,CLE,IL,Calf,,,
