player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,odds
Brett Wisely,total_bases,prizepicks,5.5,1.1405998520785943e-05,4.59348164971729e-06,0.5238095238095238,UNDER,1.0999903536885356,1.0999903536885356,VERY_HIGH,-110
Brett Harris,total_bases,prizepicks,5.5,1.1405998520785943e-05,4.59348164971729e-06,0.5238095238095238,UNDER,1.0999903536885356,1.0999903536885356,VERY_HIGH,-110
Brett Auerbach,total_bases,prizepicks,5.5,1.1405998520785943e-05,4.59348164971729e-06,0.5238095238095238,UNDER,1.0999903536885356,1.0999903536885356,VERY_HIGH,-110
Shohei Ohtani,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Kyle Schwarber,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Corbin Carroll,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Eugenio Suarez,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Tyler Soderstrom,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Jo Adell,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Matt Chapman,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Jackson Merrill,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Alec Bohm,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Tyler Heineman,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Michael Conforto,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Tyler Fitzgerald,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Michael Stefanic,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Jordan Lawlar,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Tyler Wade,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Aaron Bracho,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Donovan Walton,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Hunter Feduccia,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Michael Perez,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Ryan Waldschmidt,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Hunter Bishop,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
A.J. Vukovich,total_bases,prizepicks,4.5,1.1405998520785943e-05,0.0001422479148330824,0.5238095238095238,UNDER,1.0997012793788508,1.0997012793788508,VERY_HIGH,-110
Bryce Harper,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Trea Turner,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Nick Kurtz,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Geraldo Perdomo,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Will Smith,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Will Smith,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Will Smith,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Will Smith,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Taylor Ward,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Taylor Ward,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Josh Naylor,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Josh Naylor,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Josh Naylor,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Josh Naylor,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Manny Machado,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Mike Trout,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Mike Trout,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Nick Castellanos,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Nolan Schanuel,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Nolan Schanuel,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
Tyler Soderstrom,total_bases,prizepicks,3.5,1.1405998520785943e-05,0.0023820102843165047,0.5238095238095238,UNDER,1.0949977784029352,1.0949977784029352,VERY_HIGH,-110
