rank,combo_size,detailed_combo,pick_1_player,pick_1_stat,pick_1_line,pick_1_bet,pick_1_prediction,pick_1_source,pick_1_edge,pick_1_confidence,pick_2_player,pick_2_stat,pick_2_line,pick_2_bet,pick_2_prediction,pick_2_source,pick_2_edge,pick_2_confidence,pick_3_player,pick_3_stat,pick_3_line,pick_3_bet,pick_3_prediction,pick_3_source,pick_3_edge,pick_3_confidence,pick_4_player,pick_4_stat,pick_4_line,pick_4_bet,pick_4_prediction,pick_4_source,pick_4_edge,pick_4_confidence,pick_5_player,pick_5_stat,pick_5_line,pick_5_bet,pick_5_prediction,pick_5_source,pick_5_edge,pick_5_confidence,avg_edge_pct,win_probability_pct,total_ev,kelly_bet_pct,diversity_pct,model_confidence,recommendation,data_validation_warning,all_picks_summary
1,3,3-pick: Josh Smith hits UNDER 2.5 | Spencer Steer total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Spencer Steer,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,,,,,,,,,135.8%,93.6%,4.07,15.0%,100.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Spencer Steer total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
2,3,3-pick: Josh Smith hits UNDER 2.5 | Spencer Steer total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Spencer Steer,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,,,,,,,,,135.8%,93.6%,4.07,15.0%,100.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Spencer Steer total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
3,3,3-pick: Josh Smith hits UNDER 2.5 | Corey Seager total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Corey Seager,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,,,,,,,,,135.8%,93.6%,4.07,15.0%,100.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Corey Seager total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
4,3,3-pick: Josh Smith hits UNDER 2.5 | Austin Hays total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Austin Hays,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,,,,,,,,,135.8%,93.6%,4.07,15.0%,100.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Austin Hays total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
5,3,3-pick: Josh Smith hits UNDER 2.5 | Spencer Steer total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Spencer Steer,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,,,,,,,,,135.8%,93.6%,4.07,15.0%,100.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Spencer Steer total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
6,4,4-pick: Josh Smith hits UNDER 2.5 | Josh Jung hits UNDER 2.5 | Spencer Steer total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Josh Jung,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Spencer Steer,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,136.5%,92.6%,5.46,15.0%,75.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Josh Jung hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Spencer Steer total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 4: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
7,4,4-pick: Josh Smith hits UNDER 2.5 | Josh Jung hits UNDER 2.5 | Spencer Steer total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Josh Jung,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Spencer Steer,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,136.5%,92.6%,5.46,15.0%,75.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Josh Jung hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Spencer Steer total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 4: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
8,4,4-pick: Josh Smith hits UNDER 2.5 | Josh Jung hits UNDER 2.5 | Corey Seager total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Josh Jung,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Corey Seager,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,136.5%,92.6%,5.46,15.0%,75.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Josh Jung hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Corey Seager total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 4: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
9,4,4-pick: Josh Smith hits UNDER 2.5 | Josh Jung hits UNDER 2.5 | Austin Hays total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Josh Jung,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Austin Hays,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,136.5%,92.6%,5.46,15.0%,75.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Josh Jung hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Austin Hays total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 4: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
10,4,4-pick: Josh Smith hits UNDER 2.5 | Josh Jung hits UNDER 2.5 | Spencer Steer total_bases UNDER 4.5 | Elly De La Cruz hitter_strikeouts UNDER 2.5,Josh Smith,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Josh Jung,hits,2.5,UNDER,0.1,prizepicks,138.6%,High,Spencer Steer,total_bases,4.5,UNDER,0.1,prizepicks,138.6%,High,Elly De La Cruz,hitter_strikeouts,2.5,UNDER,0.0,prizepicks,130.1%,High,,,,,,,,,136.5%,92.6%,5.46,15.0%,75.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Josh Smith hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 2: Josh Jung hits UNDER 2.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 3: Spencer Steer total_bases UNDER 4.5 (pred: 0.1, edge: 138.6%, prizepicks) | Pick 4: Elly De La Cruz hitter_strikeouts UNDER 2.5 (pred: 0.0, edge: 130.1%, prizepicks)"
