player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,odds,model_confidence,confidence_adjusted_edge,market_category,kelly_size_full,kelly_size_quarter
Ryan McMahon,total_bases,prizepicks,3.5,0.16034100775266258,0.012992384332586648,0.5238095238095238,UNDER,1.0727159929015682,1.0727159929015682,VERY_HIGH,-110,0.9961948041260978,1.0686340984315104,PREMIUM,0.974895943595252,0.243723985898813
Cam Smith,total_bases,prizepicks,4.5,0.7461295113883983,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9669888268518928,1.0433809441731923,PREMIUM,0.9807321594068581,0.24518303985171452
Cam Eden,total_bases,prizepicks,4.5,0.33184989550473265,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9669888268518928,1.0433809441731923,PREMIUM,0.9807321594068581,0.24518303985171452
Junior Perez,total_bases,prizepicks,4.5,0.9418146659559661,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9669888268518928,1.0433809441731923,PREMIUM,0.9807321594068581,0.24518303985171452
Cam Collier,total_bases,prizepicks,4.5,0.8499462297877186,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9669888268518928,1.0433809441731923,PREMIUM,0.9807321594068581,0.24518303985171452
Austin Riley,total_bases,prizepicks,3.5,0.318475940927619,0.016960226338005757,0.5238095238095238,UNDER,1.064383524690188,1.064383524690188,VERY_HIGH,-110,0.9746739350904257,1.0374268784552028,PREMIUM,0.9671054549276431,0.24177636373191078
Austin Riley,total_bases,prizepicks,3.5,0.318475940927619,0.016960226338005757,0.5238095238095238,UNDER,1.064383524690188,1.064383524690188,VERY_HIGH,-110,0.9746739350904257,1.0374268784552028,PREMIUM,0.9671054549276431,0.24177636373191078
Austin Riley,total_bases,prizepicks,3.5,0.318475940927619,0.016960226338005757,0.5238095238095238,UNDER,1.064383524690188,1.064383524690188,VERY_HIGH,-110,0.9746739350904257,1.0374268784552028,PREMIUM,0.9671054549276431,0.24177636373191078
Austin Riley,total_bases,prizepicks,3.5,0.318475940927619,0.016960226338005757,0.5238095238095238,UNDER,1.064383524690188,1.064383524690188,VERY_HIGH,-110,0.9746739350904257,1.0374268784552028,PREMIUM,0.9671054549276431,0.24177636373191078
Ryan Waldschmidt,total_bases,prizepicks,3.5,0.6568794304087493,0.029018806681812337,0.5238095238095238,UNDER,1.039060505968194,1.039060505968194,VERY_HIGH,-110,0.9961948041260978,1.0351066772181492,PREMIUM,0.9430532656228002,0.23576331640570006
Aaron Bracho,rbi,prizepicks,2.5,0.08387361124154513,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9583269098643732,1.0340347357436586,PREMIUM,0.9807321594068581,0.24518303985171452
Matt Chapman,total_bases,prizepicks,3.5,0.38830960900462674,0.019018292884680266,0.5238095238095238,UNDER,1.0600615849421715,1.0600615849421715,VERY_HIGH,-110,0.9716908561737864,1.0300521490693997,PREMIUM,0.9630409637143426,0.24076024092858564
Matt Chapman,total_bases,prizepicks,3.5,0.38830960900462674,0.019018292884680266,0.5238095238095238,UNDER,1.0600615849421715,1.0600615849421715,VERY_HIGH,-110,0.9716908561737864,1.0300521490693997,PREMIUM,0.9630409637143426,0.24076024092858564
Matt Chapman,total_bases,prizepicks,3.5,0.38830960900462674,0.019018292884680266,0.5238095238095238,UNDER,1.0600615849421715,1.0600615849421715,VERY_HIGH,-110,0.9716908561737864,1.0300521490693997,PREMIUM,0.9630409637143426,0.24076024092858564
Matt Chapman,total_bases,prizepicks,3.5,0.38830960900462674,0.019018292884680266,0.5238095238095238,UNDER,1.0600615849421715,1.0600615849421715,VERY_HIGH,-110,0.9716908561737864,1.0300521490693997,PREMIUM,0.9630409637143426,0.24076024092858564
Max Schuemann,total_bases,prizepicks,4.5,0.8914832949093217,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9545230338690021,1.0299303535446531,PREMIUM,0.9807321594068581,0.24518303985171452
Max Stassi,total_bases,prizepicks,4.5,0.5110124020831079,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9545230338690021,1.0299303535446531,PREMIUM,0.9807321594068581,0.24518303985171452
Cam Eden,total_bases,prizepicks,3.5,0.33184989550473265,0.017338933517078714,0.5238095238095238,UNDER,1.063588239614135,1.063588239614135,VERY_HIGH,-110,0.9669888268518928,1.0284779440779421,PREMIUM,0.9663587674622314,0.24158969186555784
Chandler Seagle,total_bases,prizepicks,3.5,0.06316738069562233,0.010975295925669704,0.5238095238095238,UNDER,1.0769518785560936,1.0769518785560936,VERY_HIGH,-110,0.9541929058762638,1.0276198424883403,PREMIUM,0.9788336304115176,0.2447084076028794
Ryan Pepiot,pitcher_strikeouts,prizepicks,6.0,2.4443111581749193,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Pepiot,pitcher_strikeouts,underdog,6.5,2.4443111581749193,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Pepiot,pitcher_strikeouts,underdog,6.5,2.9558422282845895,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Yarbrough,pitcher_strikeouts,underdog,6.5,2.882002148208875,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Yarbrough,pitcher_strikeouts,prizepicks,6.0,1.6730733165836824,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Yarbrough,pitcher_strikeouts,underdog,6.5,1.6730733165836824,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Thompson,pitcher_strikeouts,prizepicks,6.0,2.154058312743903,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Thompson,pitcher_strikeouts,underdog,6.5,2.154058312743903,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Thompson,pitcher_strikeouts,prizepicks,6.0,1.8396157026598026,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Thompson,pitcher_strikeouts,underdog,6.5,1.8396157026598026,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Thompson,pitcher_strikeouts,underdog,6.5,2.5844780526927638,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Brasier,pitcher_strikeouts,prizepicks,6.0,1.5046606851882753,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Brasier,pitcher_strikeouts,underdog,6.5,1.5046606851882753,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Walker,pitcher_strikeouts,prizepicks,6.0,2.5094535334124215,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Walker,pitcher_strikeouts,underdog,6.5,2.5094535334124215,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Fernandez,pitcher_strikeouts,underdog,6.5,3.0025377971129705,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Fernandez,pitcher_strikeouts,prizepicks,6.0,1.3838578804621573,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Fernandez,pitcher_strikeouts,underdog,6.5,1.3838578804621573,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9518225221484621,1.0270165013981905,PREMIUM,0.9807321594068581,0.24518303985171452
Shota Imanaga,pitcher_strikeouts,prizepicks,6.5,1.7359001393001465,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9517468903932031,1.0269348947342662,PREMIUM,0.9807321594068581,0.24518303985171452
Shota Imanaga,pitcher_strikeouts,underdog,5.5,1.7359001393001465,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9517468903932031,1.0269348947342662,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Helsley,pitcher_strikeouts,underdog,6.5,3.0335412367851147,0.010417186714097637,0.5238095238095238,UNDER,1.078123907900395,1.078123907900395,VERY_HIGH,-110,0.9518225221484621,1.0261826172063102,PREMIUM,0.9799204853867051,0.24498012134667627
