player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,odds
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,4.051698541408868,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,1.8691384715266748,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Hunter Brown,pitcher_strikeouts,underdog,7.5,1.8691384715266748,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,4.064311254298463,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,4.035524235904063,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,3.7927475218656213,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Hunter Brown,pitcher_strikeouts,underdog,7.5,3.7927475218656213,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,3.60285733310002,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Hunter Brown,pitcher_strikeouts,underdog,7.5,3.60285733310002,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Robbie Ray,pitcher_strikeouts,prizepicks,7.5,3.8974448820400376,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Robbie Ray,pitcher_strikeouts,prizepicks,7.5,1.4363688740648985,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Robbie Ray,pitcher_strikeouts,underdog,6.5,1.4363688740648985,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Robbie Ray,pitcher_strikeouts,prizepicks,7.5,3.648293714271334,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Tyler Glasnow,pitcher_strikeouts,prizepicks,6.5,2.3623049749112797,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Kris Bubic,pitcher_strikeouts,prizepicks,5.5,1.0629530665532585,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Kris Bubic,pitcher_strikeouts,prizepicks,5.5,1.0629530665532585,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Kris Bubic,pitcher_strikeouts,prizepicks,5.5,1.622409976975384,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Kris Bubic,pitcher_strikeouts,prizepicks,5.5,1.0639023465471436,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Kris Bubic,pitcher_strikeouts,prizepicks,5.5,0.665351603600023,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Kris Bubic,pitcher_strikeouts,prizepicks,5.5,1.33194564469093,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
Kris Bubic,pitcher_strikeouts,prizepicks,5.5,1.0629530665532585,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110
