player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,optimal_entry_size,kelly_bet_pct,kelly_bet_amount,odds
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,4.051698541408868,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,1.8691384715266748,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,4.064311254298463,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,4.035524235904063,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,3.7927475218656213,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Hunter Brown,pitcher_strikeouts,prizepicks,8.5,3.60285733310002,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Robbie Ray,pitcher_strikeouts,prizepicks,7.5,3.8974448820400376,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Robbie Ray,pitcher_strikeouts,prizepicks,7.5,1.4363688740648985,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Robbie Ray,pitcher_strikeouts,prizepicks,7.5,3.648293714271334,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Jacob deGrom,pitcher_strikeouts,prizepicks,7.5,3.030854504819775,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Jacob deGrom,pitcher_strikeouts,prizepicks,7.5,3.6298715178260066,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Tyler Glasnow,pitcher_strikeouts,prizepicks,6.5,2.3623049749112797,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Kris Bubic,pitcher_strikeouts,prizepicks,6.5,1.0629530665532585,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Kris Bubic,pitcher_strikeouts,prizepicks,6.5,1.0629530665532585,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Kris Bubic,pitcher_strikeouts,prizepicks,6.5,1.622409976975384,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
