player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,odds
Shohei Ohtani,total_bases,prizepicks,6.5,0.08663988394761005,9.532298304470999e-06,0.5238095238095238,UNDER,1.0999799821735607,1.0999799821735607,VERY_HIGH,-110
Aaron Judge,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Cal Raleigh,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Jonathan Aranda,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Jonathan India,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Nathan Lukes,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Aaron Schunk,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Aaron Sabato,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Aaron Bracho,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Jonathan Ornelas,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Jon Singleton,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Cal Conley,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Aaron Zavala,total_bases,prizepicks,5.5,0.08663988394761005,0.00015374505621656986,0.5238095238095238,UNDER,1.0996771353819452,1.0996771353819452,VERY_HIGH,-110
Byron Buxton,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Rafael Devers,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Trevor Larnach,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Junior Caminero,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Will Smith,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Wyatt Langford,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Kyle Stowers,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Freddie Freeman,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Corey Seager,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Max Muncy,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Adolis Garcia,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Will Benson,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Kyle Manzardo,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Kyle Farmer,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Cam Smith,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Max Muncy,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Mike Yastrzemski,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Kyle Higashioka,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Will Holland,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Mike Ford,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Kyle Isbel,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Will Wagner,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Max Schuemann,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Will Wilson,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Alex De Goti,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Max Clark,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Bryce Eldridge,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Cam Eden,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Alex Ramirez,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
CJ Alexander,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Max Stassi,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Alex Jackson,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Alex De Jesus,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Junior Perez,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Cam Collier,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Alex Freeland,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
CJ Kayfus,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Bryce Rainer,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Mike Boeve,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Cam Cauley,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Trevor Hauver,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Will Brennan,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Rafael Ortega,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Will Banfield,total_bases,prizepicks,4.5,0.08663988394761005,0.0016292360062325484,0.5238095238095238,UNDER,1.0965786043869117,1.0965786043869117,VERY_HIGH,-110
Aaron Judge,rbi,prizepicks,2.5,0.045911672074709614,0.007062114170063194,0.5238095238095238,UNDER,1.0851695602428673,1.0851695602428673,VERY_HIGH,-110
Shohei Ohtani,rbi,prizepicks,2.5,0.045911672074709614,0.007062114170063194,0.5238095238095238,UNDER,1.0851695602428673,1.0851695602428673,VERY_HIGH,-110
Aaron Schunk,rbi,prizepicks,2.5,0.045911672074709614,0.007062114170063194,0.5238095238095238,UNDER,1.0851695602428673,1.0851695602428673,VERY_HIGH,-110
Aaron Sabato,rbi,prizepicks,2.5,0.045911672074709614,0.007062114170063194,0.5238095238095238,UNDER,1.0851695602428673,1.0851695602428673,VERY_HIGH,-110
Aaron Bracho,rbi,prizepicks,2.5,0.045911672074709614,0.007062114170063194,0.5238095238095238,UNDER,1.0851695602428673,1.0851695602428673,VERY_HIGH,-110
Aaron Zavala,rbi,prizepicks,2.5,0.045911672074709614,0.007062114170063194,0.5238095238095238,UNDER,1.0851695602428673,1.0851695602428673,VERY_HIGH,-110
Shohei Ohtani,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Bobby Witt Jr.,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jordan Beck,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Kyle Stowers,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Freddie Freeman,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Bo Bichette,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Bo Bichette,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jordan Westburg,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Andy Pages,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Yandy Diaz,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jacob Wilson,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Kyle Manzardo,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Kyle Farmer,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Chandler Simpson,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Yainer Diaz,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jacob Melton,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Luis Urias,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Bo Naylor,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Bo Naylor,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Kyle Higashioka,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Luis Matos,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jac Caglianone,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Kyle Isbel,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jordan Walker,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Luis Torrens,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
J.C. Escarra,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jordan Lawlar,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Luis Guillorme,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jacob Stallings,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Andy Ibanez,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jordan Groshans,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Alex De Goti,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Luis De Los Santos,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Andy Yerzy,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Alex Ramirez,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Luis Vazquez,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Chandler Seagle,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Alex Jackson,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Alex De Jesus,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jacob Hurtubise,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jacob Nottingham,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Alex Freeland,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Jordan McCants,hits,prizepicks,2.5,0.06814100855805141,0.007510777040263816,0.5238095238095238,UNDER,1.084227368215446,1.084227368215446,VERY_HIGH,-110
Ronald Acuna Jr.,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
Pete Alonso,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
Pete Alonso,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
Jose Ramirez,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
Juan Soto,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
Jazz Chisholm Jr.,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
Hunter Goodman,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
Matt Olson,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
Matt Olson,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5238095238095238,UNDER,1.075984868024218,1.075984868024218,VERY_HIGH,-110
