rank,combo_size,detailed_combo,pick_1_player,pick_1_stat,pick_1_line,pick_1_bet,pick_1_prediction,pick_1_source,pick_1_edge,pick_1_confidence,pick_2_player,pick_2_stat,pick_2_line,pick_2_bet,pick_2_prediction,pick_2_source,pick_2_edge,pick_2_confidence,pick_3_player,pick_3_stat,pick_3_line,pick_3_bet,pick_3_prediction,pick_3_source,pick_3_edge,pick_3_confidence,pick_4_player,pick_4_stat,pick_4_line,pick_4_bet,pick_4_prediction,pick_4_source,pick_4_edge,pick_4_confidence,pick_5_player,pick_5_stat,pick_5_line,pick_5_bet,pick_5_prediction,pick_5_source,pick_5_edge,pick_5_confidence,avg_edge_pct,win_probability_pct,total_ev,kelly_bet_pct,diversity_pct,model_confidence,recommendation,data_validation_warning,all_picks_summary
1,3,3-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,,,,,,,,,,,,,,,,,138.2%,96.6%,4.15,15.0%,66.7%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks)"
2,3,3-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Teodosio rbi UNDER 2.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Teodosio,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,,,,,,,,,,,,,,,,,138.2%,96.6%,4.15,15.0%,66.7%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Teodosio rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks)"
3,3,3-pick: Jo Adell total_bases UNDER 5.5 | Bryce Eldridge rbi UNDER 2.5 | Bryce Teodosio rbi UNDER 2.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Teodosio,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,,,,,,,,,,,,,,,,,138.2%,96.6%,4.15,15.0%,66.7%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Teodosio rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks)"
4,3,3-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Eugenio Suarez total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Eugenio Suarez,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,,,,,,,,,,,,,,,,,137.7%,96.0%,4.13,15.0%,66.7%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Eugenio Suarez total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
5,3,3-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Fernando Tatis Jr. total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Fernando Tatis Jr.,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,,,,,,,,,,,,,,,,,137.7%,96.0%,4.13,15.0%,66.7%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Fernando Tatis Jr. total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
6,4,4-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Bryce Teodosio rbi UNDER 2.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Teodosio,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,,,,,,,,,138.2%,95.4%,5.53,15.0%,50.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Bryce Teodosio rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks)"
7,4,4-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Eugenio Suarez total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Eugenio Suarez,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,,,,,,,,,137.8%,94.8%,5.51,15.0%,50.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Eugenio Suarez total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
8,4,4-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Fernando Tatis Jr. total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Fernando Tatis Jr.,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,,,,,,,,,137.8%,94.8%,5.51,15.0%,50.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Fernando Tatis Jr. total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
9,4,4-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Nick Kurtz total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Nick Kurtz,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,,,,,,,,,137.8%,94.8%,5.51,15.0%,50.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Nick Kurtz total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
10,4,4-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Will Smith total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Will Smith,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,,,,,,,,,137.8%,94.8%,5.51,15.0%,50.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Will Smith total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
11,5,5-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Bryce Teodosio rbi UNDER 2.5 | Eugenio Suarez total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Teodosio,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Eugenio Suarez,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,137.8%,93.6%,6.89,15.0%,40.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Bryce Teodosio rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 5: Eugenio Suarez total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
12,5,5-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Bryce Teodosio rbi UNDER 2.5 | Fernando Tatis Jr. total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Teodosio,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Fernando Tatis Jr.,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,137.8%,93.6%,6.89,15.0%,40.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Bryce Teodosio rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 5: Fernando Tatis Jr. total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
13,5,5-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Bryce Teodosio rbi UNDER 2.5 | Nick Kurtz total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Teodosio,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Nick Kurtz,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,137.8%,93.6%,6.89,15.0%,40.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Bryce Teodosio rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 5: Nick Kurtz total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
14,5,5-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Bryce Teodosio rbi UNDER 2.5 | Will Smith total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Teodosio,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Will Smith,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,137.8%,93.6%,6.89,15.0%,40.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Bryce Teodosio rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 5: Will Smith total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
15,5,5-pick: Jo Adell total_bases UNDER 5.5 | Bryce Johnson rbi UNDER 2.5 | Bryce Eldridge rbi UNDER 2.5 | Bryce Teodosio rbi UNDER 2.5 | Mookie Betts total_bases UNDER 4.5,Jo Adell,total_bases,5.5,UNDER,1.4,prizepicks,138.6%,High,Bryce Johnson,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Eldridge,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Bryce Teodosio,rbi,2.5,UNDER,0.3,prizepicks,138.0%,High,Mookie Betts,total_bases,4.5,UNDER,1.4,prizepicks,136.5%,High,137.8%,93.6%,6.89,15.0%,40.0%,Very High,STRONG BET,WARNING: Verify lines on live platforms - scraped data may be outdated,"Pick 1: Jo Adell total_bases UNDER 5.5 (pred: 1.4, edge: 138.6%, prizepicks) | Pick 2: Bryce Johnson rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 3: Bryce Eldridge rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 4: Bryce Teodosio rbi UNDER 2.5 (pred: 0.3, edge: 138.0%, prizepicks) | Pick 5: Mookie Betts total_bases UNDER 4.5 (pred: 1.4, edge: 136.5%, prizepicks)"
